Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
Computer Networking Systems,Bachelors,55600,94400,49
Biomedical Sciences,Bachelors,43600,94300,70
Philosophy,Bachelors,52600,94300,41
Sales & Marketing,Bachelors,52700,94300,48
Manufacturing Engineering Technology,Bachelors,66000,94300,49
Environmental Health & Safety,Bachelors,57600,94200,68
Organizational Psychology,Bachelors,51200,94100,50
Industrial Psychology,Bachelors,50000,94000,50
Political Science,Bachelors,50700,94000,47
Real Estate Development,Bachelors,57100,94000,
Social Ecology,Bachelors,49000,93700,
Risk Management & Insurance,Bachelors,59500,93600,46
Radiation Therapy,Bachelors,68400,93400,90
French Literature,Bachelors,46400,93300,50
Occupational Therapy (OT),Bachelors,54100,93300,88
Advertising,Bachelors,47200,93200,32
Accounting,Bachelors,54800,93100,42
Geology,Bachelors,50400,93000,54
Strategic Communication,Bachelors,47100,93000,42
Transportation & Logistics Management,Bachelors,57600,93000,48
Financial Accounting,Bachelors,56100,92900,51
Cell & Molecular Biology,Bachelors,51900,92800,68
Industrial Safety,Bachelors,55200,92800,78
Insurance,Bachelors,56000,92800,43
Manufacturing Management,Bachelors,64000,92800,49
Networks & Telecommunications,Bachelors,54300,92800,56
Labor Studies,Bachelors,46600,92600,49
Digital Media Design,Bachelors,46700,92600,31
Advertising & Marketing Communications,Bachelors,48300,92600,36
Cinema Studies,Bachelors,47900,92500,33
Electronic & Computer Technology,Bachelors,63800,92500,58
Marketing Communication,Bachelors,45700,92500,39
Construction Technology,Bachelors,59100,92400,
Architecture,Bachelors,51000,92300,53
Applied Statistics,Bachelors,65900,92200,47
Biological Sciences,Bachelors,49300,92100,66
Food Science,Bachelors,52500,92100,51
Urban & Regional Planning,Bachelors,51800,92100,60
Marketing Management,Bachelors,51300,92000,42
Computer & Network Administration,Bachelors,56800,91900,47
Applied Computer Science,Bachelors,66100,91800,44
Sales,Bachelors,61500,91600,44
Environmental Design,Bachelors,47700,91400,55
Hotel Management,Bachelors,49100,91400,44
Advertising Design,Bachelors,52700,91300,28
Digital Arts,Bachelors,45600,91300,35
Financial Management,Bachelors,54300,91300,54
Electronic Systems Technology (EST),Bachelors,81000,91200,
Italian Language,Bachelors,51400,91100,43
German Studies,Bachelors,50000,91000,42
Quality Management,Bachelors,57400,90800,60
Microbiology,Bachelors,48400,90300,68
Entrepreneurship,Bachelors,54800,90300,47
Interactive Media,Bachelors,52700,90200,35
Global Business Management,Bachelors,55900,90200,52
Network Systems Administration,Bachelors,57900,90200,50
Police Science,Bachelors,55400,90200,
Hydrology,Bachelors,48700,90100,
Business Data Analysis,Bachelors,64700,90000,36
Database Management,Bachelors,65900,90000,
Spanish Literature,Bachelors,51100,90000,50
Business Technology,Bachelors,52800,89900,42
Business Management & Marketing,Bachelors,48900,89800,48
Technical Management,Bachelors,64400,89700,62
Human Biology,Bachelors,51100,89600,70
Meteorology,Bachelors,46200,89500,57
Computer Graphics Technology (CGT),Bachelors,49000,89200,40
Urban Planning,Bachelors,50500,89200,53
Aviation Technology,Bachelors,58100,89100,49
Environmental Health,Bachelors,50000,89100,65
Agricultural Science,Bachelors,48900,88900,59
Agronomy,Bachelors,50200,88900,65
International Studies,Bachelors,50000,88900,51
Design,Bachelors,52800,88800,40
Applied Science,Bachelors,46400,88700,
Architectural Engineering Technology,Bachelors,52200,88700,59
German Language,Bachelors,50700,88700,41
Technology,Bachelors,56200,88600,64
Advertising & Promotion,Bachelors,46100,88500,46
Pre-law,Bachelors,46800,88400,45
Digital Media,Bachelors,47300,88200,38
Biological Anthropology,Bachelors,46200,88100,49
Personal Financial Planning,Bachelors,53800,88100,60
Professional Pilot Education,Bachelors,63700,88000,
Textile Technology,Bachelors,54000,88000,42
Web & Digital Media Development,Bachelors,52300,88000,33
Entrepreneurial Studies,Bachelors,48700,87900,37
Fashion Design,Bachelors,47500,87700,27
Retailing,Bachelors,51300,87600,35
Business Communication,Bachelors,50900,87300,47
Environmental Science,Bachelors,49100,87300,59
Product Design Engineering,Bachelors,65500,87200,35
English Literature,Bachelors,47700,87000,45
Logistics,Bachelors,57600,87000,41
Math & Science,Bachelors,55600,86900,66
International Trade & Business,Bachelors,54800,86800,27
Pre-Medicine,Bachelors,50800,86800,67
Speech & Drama,Bachelors,37500,86800,
Toxicology,Bachelors,44600,86800,
Advertising & Marketing,Bachelors,49000,86700,38
